Gene	ERR4421550	ERR4421556	ERR4421570	ERR4421590	ERR4421608	ERR4421623
CIG00063_0001_787	5609.0	0.0	0.0	0.0	0.0	0.0
MG2537_0426_1	5396.0	0.0	0.0	0.0	1.0	0.0
MAG05013_0008_1	2338.0	0.0	0.0	0.0	0.0	0.0
MAG12393_0014_5	2061.0	0.0	0.0	0.0	0.0	0.0
MG1704_0004_134	2017.0	0.0	0.0	0.0	0.0	0.0
MAG03985_0004_101	1635.0	0.0	0.0	0.0	0.0	0.0
CIG00063_0001_1062	1479.0	0.0	0.0	0.0	0.0	0.0
MAG04205_0011_27	1478.0	0.0	0.0	0.0	0.0	0.0
MAG05411_0006_74	1450.0	0.0	0.0	0.0	0.0	0.0
MAG06273_0008_40	1409.0	0.0	0.0	0.0	0.0	0.0
MAG05949_0003_118	1183.0	0.0	0.0	0.0	0.0	0.0
MAG00134_0007_1	1156.0	0.0	0.0	0.0	0.0	0.0
CIG00814_0006_57	1146.0	0.0	1.0	0.0	0.0	0.0
CIG00063_0001_69	1114.0	0.0	0.0	0.0	0.0	0.0
MAG05269_0011_11	1063.0	0.0	0.0	0.0	0.0	0.0
MG1311_0098_1	1040.0	0.0	0.0	0.0	0.0	0.0
CIG01102_0019_12	1028.0	0.0	0.0	0.0	0.0	0.0
MAG09655_0003_63	1027.0	0.0	0.0	0.0	0.0	0.0
CIG00810_0005_9	1020.0	0.0	0.0	0.0	0.0	0.0
CIG00063_0001_49	998.0	0.0	0.0	0.0	0.0	0.0
CIG00063_0001_1211	991.0	0.0	0.0	0.0	0.0	0.0
CIG00063_0001_148	977.0	0.0	0.0	0.0	0.0	0.0
MG0229_0004_45	962.0	0.0	0.0	0.0	0.0	0.0
CIG00146_0004_35	925.0	0.0	0.0	0.0	0.0	0.0
MAG14940_0116_3	914.0	0.0	0.0	0.0	0.0	0.0
CIG00063_0001_43	913.0	0.0	0.0	0.0	0.0	0.0
MAG05783_0055_2	912.0	0.0	1.0	0.0	0.0	0.0
MAG00195_0004_59	897.0	0.0	0.0	0.0	0.0	0.0
CIG00063_0001_282	896.0	0.0	0.0	0.0	0.0	0.0
CIG00063_0001_328	885.0	0.0	0.0	0.0	0.0	0.0
