Gene	KEGG	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass
CIG00063_0001_43	K02004		M00258		
CIG00063_0001_69	K00691	ko00500,ko01100,map00500,map01100		R01555	RC00049
CIG00063_0001_148	K01869	ko00970,map00970	M00359,M00360	R03657	RC00055,RC00523
CIG00063_0001_282	K01955	ko00240,ko00250,ko01100,map00240,map00250,map01100	M00051	R00256,R00575,R01395,R10948,R10949	RC00002,RC00010,RC00043,RC02750,RC02798,RC03314
CIG00063_0001_328	K04072	ko00010,ko00071,ko00350,ko00620,ko00625,ko00626,ko00650,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00620,map00625,map00626,map00650,map01100,map01110,map01120,map01130,map01220		R00228,R00623,R00754,R01172,R04880,R05233,R05234,R06917,R06927	RC00004,RC00050,RC00088,RC00099,RC00116,RC00184,RC00649,RC01195
CIG00063_0001_1062	K03046	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	R00435,R00441,R00442,R00443	RC02795
CIG00063_0001_1211	K21636	ko00230,ko00240,ko01100,map00230,map00240,map01100	M00053	R11633,R11634,R11635,R11636	RC00613
CIG00810_0005_9	K03763	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795
CIG00814_0006_57	K01153				
MAG00195_0004_59	K02470				
MAG04205_0011_27	K03043	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	R00435,R00441,R00442,R00443	RC02795
MAG05013_0008_1	K03112,K12132				
MAG05269_0011_11	K03723	ko03420,map03420			
MAG05411_0006_74	K01208	ko00500,ko01100,map00500,map01100		R02112,R03122,R11262	
MAG05783_0055_2	K03701	ko03420,map03420			
MAG05949_0003_118	K03112,K12132				
MAG06273_0008_40	K01200	ko00500,ko01100,ko01110,map00500,map01100,map01110		R02111	
MAG09655_0003_63	K02469				
MAG14940_0116_3	K03740	ko01503,ko02020,ko05150,map01503,map02020,map05150	M00725		
MG0229_0004_45	K01531				
