Cluster	Gene	Taxa	Cat
95551	CIG00063_0001_43	Lactobacillus_iners	MajorityRule
74543	CIG00063_0001_49	Lactobacillus_iners	MajorityRule
114139	CIG00063_0001_69	Lactobacillus_iners	MajorityRule
98449	CIG00063_0001_148	Lactobacillus_iners	MajorityRule
48367	CIG00063_0001_282	Lactobacillus_iners	MajorityRule
81203	CIG00063_0001_328	Lactobacillus_iners	MajorityRule
54	CIG00063_0001_787	Lactobacillus_iners	MajorityRule
33162	CIG00063_0001_1062	Lactobacillus_iners	MajorityRule
124768	CIG00063_0001_1211	Lactobacillus_iners	MajorityRule
34909	CIG00146_0004_35	Lactobacillus_iners	MajorityRule
24206	CIG00810_0005_9	Lactobacillus_iners	MajorityRule
47369	CIG00814_0006_57	Lactobacillus_iners	MajorityRule
59059	CIG01102_0019_12	Lactobacillus_iners	MajorityRule
56184	MAG00134_0007_1	Lactobacillus_iners	MajorityRule
162077	MAG00195_0004_59	Lactobacillus_iners	MajorityRule
4582	MAG03985_0004_101	Lactobacillus_iners	MajorityRule
32404	MAG04205_0011_27	Lactobacillus_iners	MajorityRule
108206	MAG05013_0008_1	Lactobacillus_iners	SingleSpecies
42695	MAG05269_0011_11	Lactobacillus_iners	MajorityRule
39934	MAG05411_0006_74	Lactobacillus_iners	MajorityRule
61186	MAG05783_0055_2	Lactobacillus_iners	MajorityRule
5565	MAG05949_0003_118	Lactobacillus_iners	SingleSpecies
16796	MAG06273_0008_40	Lactobacillus_iners	MajorityRule
94400	MAG09655_0003_63	Lactobacillus_iners	MajorityRule
2907	MAG12393_0014_5	Lactobacillus_iners	MajorityRule
118419	MAG14940_0116_3	Lactobacillus_iners	SingleSpecies
69484	MG0229_0004_45	Lactobacillus_iners	MajorityRule
995447	MG1311_0098_1		NoTaxonomy
1176	MG1704_0004_134	Lactobacillus_iners	MajorityRule
44870	MG2537_0426_1	MultiGenera	MultiGenera
